customer_id,customer_type,product,revenue,churn
C0140,Startup,Product_A,24500,0
C0141,Startup,Product_B,25000,0
C0142,Startup,Product_C,25500,0
C0143,Startup,Product_A,26000,0
C0144,Startup,Product_B,26500,0
C0145,Startup,Product_C,27000,1
C0146,Startup,Product_A,27500,1
C0147,Startup,Product_B,28000,1
C0148,Startup,Product_C,28500,1
C0149,Startup,Product_A,29000,1
C0150,Startup,Product_B,29500,1
