candidate_id,interviewer_name,round_name,score,feedback,result,interview_date
C0043,Interviewer 3,Technical Interview,71,Strong problem-solving and communication skills.,Pass,2025-04-15
C0044,Interviewer 4,Technical Interview,78,Strong problem-solving and communication skills.,Pass,2025-04-18
C0045,Interviewer 5,Technical Interview,85,Strong problem-solving and communication skills.,Pass,2025-04-17
C0046,Interviewer 6,Technical Interview,92,Strong problem-solving and communication skills.,Pass,2025-04-20
C0047,Interviewer 7,Technical Interview,99,Strong problem-solving and communication skills.,Pass,2025-04-23
C0048,Interviewer 8,Technical Interview,70,Strong problem-solving and communication skills.,Pass,2025-04-26
C0051,Interviewer 3,Technical Interview,91,Strong problem-solving and communication skills.,Pass,2025-05-02
C0052,Interviewer 4,Technical Interview,98,Strong problem-solving and communication skills.,Pass,2025-05-05
C0053,Interviewer 5,Technical Interview,69,Strong problem-solving and communication skills.,Pass,2025-05-04
C0054,Interviewer 6,Technical Interview,76,Strong problem-solving and communication skills.,Pass,2025-05-07
C0055,Interviewer 7,Technical Interview,83,Strong problem-solving and communication skills.,Pass,2025-05-10
C0056,Interviewer 8,Technical Interview,90,Strong problem-solving and communication skills.,Pass,2025-05-13
C0057,Interviewer 1,Technical Interview,97,Strong problem-solving and communication skills.,Pass,2025-05-12
C0058,Interviewer 2,Technical Interview,68,Strong problem-solving and communication skills.,Pass,2025-05-15
C0061,Interviewer 5,Technical Interview,89,Strong problem-solving and communication skills.,Pass,2025-05-21
C0062,Interviewer 6,Technical Interview,96,Strong problem-solving and communication skills.,Pass,2025-05-24
C0063,Interviewer 7,Technical Interview,67,Strong problem-solving and communication skills.,Pass,2025-05-27
C0064,Interviewer 8,Technical Interview,74,Strong problem-solving and communication skills.,Pass,2025-05-30
C0065,Interviewer 1,Technical Interview,81,Strong problem-solving and communication skills.,Pass,2025-05-29
C0066,Interviewer 2,Technical Interview,88,Strong problem-solving and communication skills.,Pass,2025-06-01
C0067,Interviewer 3,Technical Interview,95,Strong problem-solving and communication skills.,Pass,2025-06-04
C0068,Interviewer 4,Technical Interview,66,Strong problem-solving and communication skills.,Pass,2025-06-07
C0071,Interviewer 7,Technical Interview,87,Strong problem-solving and communication skills.,Pass,2025-06-13
C0072,Interviewer 8,Technical Interview,94,Strong problem-solving and communication skills.,Pass,2025-06-16
C0073,Interviewer 1,Technical Interview,65,Strong problem-solving and communication skills.,Pass,2025-06-15
C0074,Interviewer 2,Technical Interview,72,Strong problem-solving and communication skills.,Pass,2025-06-18
C0075,Interviewer 3,Technical Interview,79,Strong problem-solving and communication skills.,Pass,2025-06-21
C0076,Interviewer 4,Technical Interview,86,Strong problem-solving and communication skills.,Pass,2025-06-24
C0077,Interviewer 5,Technical Interview,93,Strong problem-solving and communication skills.,Pass,2025-06-23
C0078,Interviewer 6,Technical Interview,100,Strong problem-solving and communication skills.,Pass,2025-06-26
C0081,Interviewer 1,Technical Interview,85,Strong problem-solving and communication skills.,Pass,2025-07-02
C0082,Interviewer 2,Technical Interview,92,Strong problem-solving and communication skills.,Pass,2025-07-05
C0083,Interviewer 3,Technical Interview,99,Strong problem-solving and communication skills.,Pass,2025-07-08
C0084,Interviewer 4,Technical Interview,70,Strong problem-solving and communication skills.,Pass,2025-07-11
C0085,Interviewer 5,Technical Interview,77,Strong problem-solving and communication skills.,Pass,2025-07-10
C0086,Interviewer 6,Technical Interview,84,Strong problem-solving and communication skills.,Pass,2025-07-13
C0087,Interviewer 7,Technical Interview,91,Strong problem-solving and communication skills.,Pass,2025-07-16
C0088,Interviewer 8,Technical Interview,98,Strong problem-solving and communication skills.,Pass,2025-07-19
C0091,Interviewer 3,Technical Interview,83,Strong problem-solving and communication skills.,Pass,2025-07-25
C0092,Interviewer 4,Technical Interview,90,Strong problem-solving and communication skills.,Pass,2025-07-28
C0093,Interviewer 5,Technical Interview,97,Strong problem-solving and communication skills.,Pass,2025-07-27
C0094,Interviewer 6,Technical Interview,68,Strong problem-solving and communication skills.,Pass,2025-07-30
C0095,Interviewer 7,Technical Interview,75,Strong problem-solving and communication skills.,Pass,2025-08-02
C0096,Interviewer 8,Technical Interview,82,Strong problem-solving and communication skills.,Pass,2025-08-05
C0097,Interviewer 1,Technical Interview,89,Strong problem-solving and communication skills.,Pass,2025-08-04
C0098,Interviewer 2,Technical Interview,96,Strong problem-solving and communication skills.,Pass,2025-08-07
